Population,NAME,White,Blk_AfAm,AmInd_AkNa,Asian,NatHaw_Pac,Other_Race,TwoOrMore,Hisp_Lat,PopOver18,Ovr18White,Ovr18Blk_A,Ovr18AmInd,Ovr18Asian,Ovr18Haw_P,Ovr18Other,Ovr18TwoOr,Ovr18HispL,Male,Female,AGE0_4,AGE5_11,AGE12_14,AGE15_17,AGE18_24,AGE25_34,AGE35_44,AGE45_64,AGE65ovr,Families,Married,Married18,MaleHH,MaleHH18,FemaleHH,FemaleHH18,Housing,Occupied,Occ_Own,Occ_Rent,Vacant,Vac_Rent,Vac_Sale,Vac_Other
3253,Census Tract 2610,1155,1294,63,43,0,595,103,944,2457,1003,867,39,39,0,448,61,707,1653,1600,289,286,90,131,409,737,476,651,184,681,275,110,110,45,296,167,1370,1088,479,609,282,124,36,122
5073,Census Tract 2804.03,1300,3568,12,53,8,28,104,74,3955,1103,2709,10,43,7,21,62,56,2383,2690,326,423,186,183,554,816,657,1421,507,1263,643,242,126,58,494,269,2255,2130,999,1131,125,62,16,47
2870,Census Tract 104,2492,117,6,145,2,46,62,148,2684,2364,104,5,132,2,35,42,126,1467,1403,127,35,12,12,270,1097,465,561,291,496,395,86,39,15,62,19,1915,1663,792,871,252,119,36,97
2324,Census Tract 2503.03,1730,357,18,85,6,50,78,119,1814,1384,278,13,64,5,37,33,81,1140,1184,158,207,87,58,225,384,294,641,270,508,274,98,57,24,177,82,1059,962,568,394,97,24,19,54
778,Census Tract 2603.03,217,492,12,2,0,28,27,43,518,184,291,11,2,0,15,15,25,320,458,88,95,41,36,78,115,82,169,74,200,39,15,23,10,138,90,386,327,107,220,59,43,15,1
4619,Census Tract 2007.01,22,4538,10,6,0,5,38,30,3541,19,3483,8,5,0,5,21,21,2017,2602,246,422,185,225,411,504,424,1343,859,1138,323,83,149,46,666,250,2046,1790,1068,722,256,134,32,90
5817,Census Tract 2720.03,3936,1604,2,123,4,55,93,133,4004,2534,1264,2,101,3,45,55,98,2746,3071,470,722,304,317,508,661,677,1337,821,1286,952,472,76,27,258,109,2235,2109,1222,887,126,56,34,36
3782,Census Tract 702,111,3486,21,35,0,51,78,134,2511,102,2278,15,28,0,37,51,88,1744,2038,391,489,173,218,484,493,456,837,241,874,205,86,109,36,560,305,1583,1110,375,735,473,132,19,322
6045,Census Tract 2801.02,105,5785,23,13,0,36,83,95,4851,89,4642,20,12,0,27,61,64,2722,3323,312,412,220,250,577,568,649,1793,1264,1467,616,172,152,57,699,283,2644,2378,1422,956,266,95,27,144
4215,Census Tract 1512,81,4029,12,11,1,21,60,55,3210,76,3055,11,7,1,19,41,43,1927,2288,286,354,167,198,405,452,440,1281,632,893,278,92,105,27,510,193,2045,1646,648,998,399,127,58,214
2652,Census Tract 2609,2227,109,29,84,1,136,66,264,2389,2054,83,21,78,0,109,44,206,1285,1367,125,79,32,27,245,1053,352,503,236,493,317,77,67,23,109,34,1433,1281,742,539,152,59,28,65
1691,Census Tract 2004,44,1614,3,4,1,0,25,8,1223,36,1167,3,4,1,0,12,3,797,894,147,185,53,83,193,220,184,452,174,407,100,39,54,17,253,122,931,592,176,416,339,35,25,279
1951,Census Tract 2611,1698,84,24,53,5,31,56,127,1763,1566,64,20,50,5,24,34,97,990,961,95,52,20,21,196,750,335,326,156,374,268,72,45,12,61,18,1103,968,673,295,135,33,42,60
1696,Census Tract 1507.01,17,1640,2,2,0,10,25,18,1310,16,1259,1,2,0,10,22,18,746,950,98,157,59,72,152,214,206,462,276,418,139,39,46,15,233,88,816,645,432,213,171,44,18,109
3142,Census Tract 2005,1120,1767,10,51,1,90,103,143,2177,877,1157,6,38,1,53,45,88,1533,1609,260,397,140,168,321,405,400,782,269,661,252,109,95,33,314,193,1545,1083,339,744,462,90,24,348
4050,Census Tract 2501.03,2911,898,17,73,5,41,105,136,3368,2462,735,15,63,3,33,57,93,1823,2227,214,243,127,98,309,620,482,949,1008,810,498,178,107,48,205,93,1921,1815,962,853,106,41,25,40
1846,Census Tract 2001,41,1750,9,2,0,4,40,30,1419,35,1344,8,2,0,3,27,24,883,963,134,149,61,83,226,206,202,572,213,438,106,20,51,13,281,105,925,625,251,374,300,85,6,209
4933,Census Tract 2603.01,343,4486,11,15,0,26,52,59,3524,312,3144,10,14,0,17,27,38,2221,2712,370,531,239,269,534,669,638,1354,329,1195,408,161,104,44,683,349,1908,1709,1149,560,199,60,29,110
2713,Census Tract 2006,740,1884,10,19,0,13,47,62,2021,591,1369,8,15,0,11,27,42,1286,1427,190,270,100,132,274,365,357,728,297,660,245,81,96,36,319,138,1195,1006,564,442,189,46,19,124
3149,Census Tract 907,43,3039,5,10,0,8,44,34,2309,42,2226,5,9,0,6,21,24,1438,1711,237,334,120,149,354,422,350,833,350,742,212,63,99,37,431,181,1483,1103,520,583,380,124,28,228
1431,Census Tract 1308.06,977,350,11,31,0,14,48,56,1264,880,310,7,26,0,10,31,42,670,761,62,64,18,23,74,318,235,357,280,270,176,49,30,9,64,22,741,628,368,260,113,87,5,21
2333,Census Tract 2707.02,620,1599,10,23,0,16,65,65,1725,515,1130,9,20,0,12,39,49,1076,1257,206,245,68,89,251,347,321,605,201,586,285,120,61,33,240,152,1083,953,443,510,130,73,14,43
977,Census Tract 1802,56,906,3,2,0,2,8,6,826,55,758,3,2,0,2,6,6,510,467,51,51,21,28,82,100,112,368,164,160,51,12,24,9,85,35,584,400,111,289,184,41,5,138
1895,Census Tract 1901,43,1754,15,2,0,51,30,77,1382,36,1284,12,2,0,35,13,54,881,1014,177,185,69,82,203,244,229,526,180,432,97,27,58,28,277,141,1248,748,218,530,500,115,18,367
4952,Census Tract 2708.05,551,4234,24,32,2,22,87,79,3805,475,3212,18,24,2,18,56,55,2238,2714,322,428,181,216,464,661,612,1473,595,1272,585,184,103,47,584,277,2210,1968,1393,575,242,91,37,114
2969,Census Tract 2002,37,2880,10,6,1,3,32,12,2236,31,2169,7,5,1,1,22,10,1421,1548,189,271,127,146,323,309,331,783,490,645,184,48,97,22,364,166,1442,1064,476,588,378,38,20,320
2359,Census Tract 1507.02,34,2311,3,1,1,1,8,11,1810,32,1764,3,1,1,1,8,9,1050,1309,117,196,110,126,223,260,271,685,371,574,182,51,55,23,337,134,1088,925,616,309,163,64,19,80
3229,Census Tract 2704.02,1432,1640,6,45,0,21,85,50,2499,1251,1152,5,45,0,14,32,33,1511,1718,179,271,110,170,278,442,439,987,353,782,446,173,70,28,266,133,1414,1275,976,299,139,28,42,69
2590,Census Tract 2502.06,2016,343,19,59,4,79,70,128,2040,1657,243,11,43,3,55,28,81,1275,1315,160,213,98,79,234,422,340,725,319,634,390,135,66,32,178,73,1087,1008,731,277,79,13,20,46
6572,Census Tract 1511,79,6361,12,22,2,30,66,79,5198,64,5027,9,21,2,22,53,61,2836,3736,364,528,225,257,589,730,736,1913,1230,1676,675,209,195,65,806,322,2972,2743,1642,1101,229,73,34,122
4006,Census Tract 401,1985,985,11,835,6,61,123,225,3832,1938,916,10,798,6,59,105,214,2039,1967,97,40,21,16,840,1833,479,573,107,415,309,74,37,14,69,30,3060,2465,137,2328,595,325,133,137
1698,Census Tract 2701.01,754,842,6,19,0,12,65,39,1289,640,586,3,16,0,9,35,31,791,907,115,139,66,89,146,250,233,505,155,422,262,102,26,10,134,61,718,642,510,132,76,18,15,43
1914,Census Tract 2702,1017,785,13,19,0,23,57,63,1509,846,599,6,16,0,13,29,40,901,1013,109,147,59,90,174,282,238,638,177,436,267,101,34,16,135,68,817,748,545,203,69,19,15,35
1920,Census Tract 1902,604,1068,20,34,0,98,96,175,1447,521,768,10,31,0,61,56,112,994,926,134,172,82,85,202,322,301,500,122,371,134,61,69,22,168,93,1165,740,261,479,425,87,55,283
4183,Census Tract 2715.01,3421,429,8,170,3,30,122,115,3291,2723,353,6,137,3,19,50,74,1914,2269,281,354,140,117,171,642,631,1273,574,1003,843,365,40,18,120,71,1955,1876,1222,654,79,31,22,26
2130,Census Tract 2101,844,1127,8,67,1,25,58,66,1738,780,843,7,62,1,14,31,47,1043,1087,153,131,45,63,232,586,302,489,129,448,195,59,57,24,196,97,1233,961,498,463,272,96,50,126
