Population,NAME,White,Blk_AfAm,AmInd_AkNa,Asian,NatHaw_Pac,Other_Race,TwoOrMore,Hisp_Lat,PopOver18,Ovr18White,Ovr18Blk_A,Ovr18AmInd,Ovr18Asian,Ovr18Haw_P,Ovr18Other,Ovr18TwoOr,Ovr18HispL,Male,Female,AGE0_4,AGE5_11,AGE12_14,AGE15_17,AGE18_24,AGE25_34,AGE35_44,AGE45_64,AGE65ovr,Families,Married,Married18,MaleHH,MaleHH18,FemaleHH,FemaleHH18,Housing,Occupied,Occ_Own,Occ_Rent,Vacant,Vac_Rent,Vac_Sale,Vac_Other
3230,Census Tract 2604.01,2525,95,48,14,8,392,148,816,2448,2007,61,28,13,6,264,69,500,1518,1712,246,315,101,120,255,465,420,863,445,820,402,155,106,45,312,147,1431,1355,900,455,76,24,12,40
4795,Census Tract 2606.05,3090,821,81,105,8,515,175,1003,3859,2653,594,62,77,5,369,99,692,2334,2461,329,335,105,167,492,791,597,1275,704,1088,617,197,139,59,332,145,2078,1927,1050,877,151,77,28,46
4930,Census Tract 2504.02,2002,2383,22,32,2,267,222,495,3294,1547,1432,13,27,2,185,88,329,2326,2604,570,656,203,207,600,867,531,1028,268,1147,419,204,151,81,577,379,2162,1716,567,1149,446,285,46,115
3175,Census Tract 2718.01,40,3056,3,10,0,12,54,19,2460,38,2367,3,6,0,9,37,16,1452,1723,178,277,118,142,279,336,378,957,510,746,274,75,88,31,384,162,1564,1317,656,661,247,63,27,157
2791,Census Tract 2713,2213,200,2,308,0,11,57,60,2181,1757,161,2,224,0,11,26,49,1398,1393,139,244,120,107,168,316,391,876,430,696,601,268,20,10,75,41,1222,1144,746,398,78,25,17,36
1953,Census Tract 2301,1197,632,10,46,0,34,34,63,1612,1100,421,5,41,0,23,22,40,1026,927,132,112,40,57,333,682,218,277,102,336,162,58,35,15,139,92,941,868,342,526,73,36,14,23
2515,Census Tract 1602,27,2427,5,8,0,8,40,9,1821,22,1750,3,7,0,6,33,8,1110,1405,220,243,104,127,341,322,284,654,220,573,126,48,51,19,396,211,1343,945,359,586,398,77,6,315
3509,Census Tract 1606,25,3413,12,11,0,8,40,52,2650,22,2585,9,10,0,3,21,27,1596,1913,259,300,134,166,412,355,355,990,538,825,210,59,117,40,498,205,1749,1347,566,781,402,120,33,249
3881,Census Tract 801.01,929,2809,15,41,0,20,67,71,2811,790,1929,11,35,0,14,32,42,1802,2079,275,421,180,194,413,508,520,1058,312,957,433,158,77,34,447,247,1472,1312,976,336,160,65,27,68
1800,Census Tract 603,685,863,34,43,6,130,39,231,1450,606,643,28,42,4,105,22,179,869,931,127,105,57,61,213,459,309,357,112,378,158,57,41,16,179,77,934,699,316,383,235,68,46,121
2853,Census Tract 1402,101,2689,4,5,2,10,42,46,1763,93,1628,3,5,2,9,23,33,1276,1577,394,462,118,116,369,453,273,532,136,648,108,52,64,28,476,337,1432,1017,156,861,415,124,18,273
2388,Census Tract 1601,39,2293,2,13,0,3,38,33,1908,37,1830,1,12,0,3,25,26,1169,1219,151,167,74,88,236,285,288,726,373,452,114,37,87,23,251,127,1556,1091,273,818,465,116,27,322
1884,Census Tract 201,1465,184,14,59,0,119,43,239,1669,1350,135,12,56,0,83,33,181,947,937,101,65,24,25,235,680,293,337,124,338,241,83,28,4,69,28,1092,916,468,448,176,51,50,75
1996,Census Tract 2604.04,719,590,40,78,2,478,89,737,1510,592,394,32,68,1,374,49,550,1089,907,167,162,79,78,260,417,320,398,115,387,159,81,74,22,154,87,812,620,257,363,192,76,27,89
2478,Census Tract 1503,20,2419,3,11,2,0,23,15,1826,19,1781,1,9,2,0,14,9,1117,1361,174,243,116,119,271,301,263,687,304,560,150,37,67,23,343,148,1186,831,444,387,355,52,18,285
2699,Census Tract 1502,28,2628,6,10,0,4,23,24,1978,27,1920,3,9,0,3,16,17,1223,1476,212,269,99,141,324,352,328,705,269,603,144,47,79,28,380,193,1421,964,410,554,457,71,12,374
2333,Census Tract 1403,105,2152,6,16,2,15,37,33,1772,102,1606,6,16,1,11,30,24,1135,1198,148,204,98,111,264,305,290,673,240,475,117,38,77,29,281,146,1583,941,285,656,642,100,28,514
5615,Census Tract 1607,40,5448,13,4,0,17,93,46,3923,33,3805,11,4,0,15,55,31,2567,3048,484,638,278,292,612,734,592,1350,635,1288,340,117,164,45,784,396,2277,1877,927,950,400,130,33,237
5937,Census Tract 2602.02,523,4973,19,273,2,28,119,76,4509,430,3757,18,201,2,22,79,52,2706,3231,411,563,215,239,776,950,734,1642,407,1452,523,200,160,64,769,426,2767,2523,1019,1504,244,127,20,97
2011,Census Tract 1703,24,1923,8,18,0,7,31,31,1499,22,1426,3,17,0,6,25,23,853,1158,150,195,79,88,229,232,233,474,331,428,92,37,42,22,294,169,1244,905,248,657,339,26,8,305
3730,Census Tract 2714,2904,301,14,393,1,25,92,115,2976,2309,256,6,344,1,16,44,88,1790,1940,178,351,118,107,295,464,542,1134,541,909,778,349,32,14,99,52,1760,1629,1063,566,131,55,14,62
985,Census Tract 1308.05,162,750,5,35,0,4,29,16,837,131,652,4,28,0,2,20,14,398,587,47,55,21,25,46,102,142,287,260,188,119,48,11,6,58,26,611,590,304,286,21,10,3,8
2937,Census Tract 803.02,18,2877,7,4,0,10,21,32,2294,17,2245,7,2,0,7,16,25,1320,1617,170,240,101,132,277,283,332,796,606,722,211,56,76,20,435,160,1326,1182,653,529,144,56,7,81
4875,Census Tract 2605.01,3368,368,26,173,2,786,152,1220,3904,2835,277,19,136,2,540,95,838,2453,2422,373,324,128,146,462,961,603,1146,732,1107,662,270,155,62,290,123,2183,1927,1120,807,256,101,45,110
1558,Census Tract 1603,28,1512,3,0,0,3,12,16,1216,21,1182,3,0,0,3,7,10,684,874,105,142,49,46,139,168,165,342,402,260,72,18,33,10,155,70,831,481,139,342,350,32,6,312
2011,Census Tract 1304,46,1905,3,3,0,10,44,27,1493,41,1419,1,3,0,4,25,15,942,1069,157,158,94,109,222,229,248,607,187,414,119,38,58,26,237,110,1131,768,301,467,363,84,12,267
4523,Census Tract 2716,103,4313,28,13,0,8,58,39,3342,95,3169,21,6,0,7,44,29,1990,2533,393,411,166,211,528,622,520,1166,506,1059,308,99,119,46,632,341,1907,1565,650,915,342,86,13,243
5648,Census Tract 2717,272,5253,12,15,0,25,71,70,4447,260,4098,11,11,0,19,48,55,2606,3042,330,449,204,218,497,578,592,1598,1182,1251,423,100,151,51,677,280,2533,2184,1068,1116,349,102,21,226
4546,Census Tract 1513,38,4428,10,5,1,14,50,31,3302,32,3209,9,4,1,8,39,22,2120,2426,404,439,172,229,546,569,539,1131,517,1092,287,78,131,53,674,357,2042,1528,665,863,514,145,46,323
3373,Census Tract 2102,1393,1608,10,226,0,46,90,123,2609,1182,1144,9,187,0,35,52,95,1700,1673,241,293,100,130,392,687,492,720,318,705,300,119,89,29,316,177,1693,1312,623,689,381,67,62,252
856,Census Tract 2715.03,725,85,0,25,1,5,15,15,824,704,80,0,22,1,5,12,15,344,512,9,18,4,1,17,89,60,272,386,169,143,18,3,1,23,5,729,625,497,128,104,18,20,66
1183,Census Tract 604,266,816,7,59,2,12,21,47,1011,240,686,6,50,2,11,16,36,543,640,56,54,32,30,103,213,149,313,233,238,104,27,20,9,114,44,735,601,225,376,134,74,9,51
1465,Census Tract 2606.04,459,823,8,14,0,110,51,244,954,374,463,6,14,0,79,18,164,638,827,172,209,67,63,159,243,159,297,96,354,87,36,32,8,235,162,573,525,127,398,48,19,13,16
4125,Census Tract 2502.04,21,4057,5,0,1,9,32,30,2370,15,2329,3,0,1,5,17,17,1620,2505,476,803,254,222,406,586,360,710,308,1024,115,45,62,26,847,617,1592,1504,120,1384,88,32,5,51
1241,Census Tract 704,18,1200,1,12,0,1,9,11,880,18,842,1,11,0,1,7,6,517,724,123,146,50,42,148,154,107,276,195,285,67,16,22,10,196,126,582,525,72,453,57,17,0,40
2172,Census Tract 2302,1967,97,2,49,0,20,37,75,2015,1859,68,2,44,0,16,26,65,1147,1025,74,40,17,26,399,893,290,296,137,319,239,66,45,13,35,13,1226,1078,554,524,148,61,37,50
2699,Census Tract 2401,2519,45,8,72,1,15,39,52,2393,2247,38,8,65,1,13,21,44,1379,1320,173,72,27,34,228,911,417,610,227,589,466,147,48,13,75,20,1632,1297,939,358,335,54,180,101
6224,Census Tract 1202.02,3681,485,9,1709,3,91,246,345,6117,3635,467,9,1677,3,90,236,341,3292,2932,56,20,11,20,4226,1015,311,414,151,285,225,48,22,3,38,20,2536,2257,278,1979,279,207,11,61
4367,Census Tract 2720.07,1636,2030,27,150,28,406,90,623,3325,1195,1622,21,107,18,303,59,461,2027,2340,363,352,147,180,433,631,495,1147,619,988,549,244,121,38,318,159,2034,1862,610,1252,172,132,15,25
3429,Census Tract 2720.05,2690,524,2,134,0,38,41,81,2392,1790,436,2,108,0,27,29,60,1545,1884,328,400,158,151,309,493,318,645,627,765,619,303,37,15,109,58,1430,1341,687,654,89,48,13,28
2084,Census Tract 803.01,21,2032,8,8,0,0,15,24,1537,18,1497,5,8,0,0,9,19,971,1113,165,203,67,112,222,232,235,571,277,509,129,28,84,19,296,127,1033,700,319,381,333,97,14,222
1724,Census Tract 105,1444,85,6,53,1,85,50,185,1542,1317,74,5,46,1,70,29,142,850,874,100,50,16,16,157,565,331,352,137,321,227,78,37,14,57,21,1008,880,479,401,128,40,31,57
1136,Census Tract 2303,1005,72,3,23,1,7,25,41,1014,909,57,3,22,1,7,15,33,622,514,47,47,15,13,147,432,146,209,80,192,128,26,22,8,42,15,616,530,320,210,86,32,17,37
6094,Census Tract 2603.02,443,5511,9,31,0,24,76,59,4618,414,4098,5,27,0,21,53,44,2706,3388,381,534,268,293,643,801,799,1846,529,1604,587,171,158,59,859,413,2589,2370,1720,650,219,65,40,114
1585,Census Tract 802,20,1518,3,7,0,7,30,17,1174,19,1131,1,5,0,1,17,9,719,866,124,150,68,69,169,163,161,409,272,350,86,21,54,18,210,88,775,570,249,321,205,69,8,128
2018,Census Tract 2502.03,62,1891,4,8,0,17,36,35,1427,47,1341,3,7,0,12,17,24,852,1166,221,206,80,84,286,287,185,466,203,531,133,52,64,27,334,198,855,777,261,516,78,34,5,39
1042,Census Tract 703,51,951,0,11,0,22,7,40,754,46,679,0,10,0,14,5,27,499,543,107,104,35,42,147,132,120,273,82,229,54,22,42,13,133,70,604,329,113,216,275,28,12,235
2469,Census Tract 806,48,2377,11,4,2,0,27,6,1835,34,1773,6,4,2,0,16,3,1150,1319,209,216,88,121,253,264,297,705,316,554,144,47,72,30,338,150,1407,887,378,509,520,63,13,444
3773,Census Tract 2719,802,2830,12,21,0,35,73,65,2996,637,2256,7,18,0,27,51,38,1700,2073,186,290,149,152,304,356,450,1112,774,914,485,158,79,36,350,129,1668,1519,1013,506,149,47,24,78
3788,Census Tract 2720.04,2939,550,8,224,7,17,43,79,3058,2389,434,5,176,7,13,34,62,1665,2123,386,195,70,79,459,706,246,593,1054,951,788,313,39,18,124,66,1966,1891,690,1201,75,21,20,34
3548,Census Tract 2720.06,1771,1694,5,8,3,24,43,45,2762,1342,1361,4,8,3,16,28,31,1606,1942,256,285,119,126,325,386,302,884,865,800,488,190,71,30,241,107,1816,1704,620,1084,112,43,26,43
3549,Census Tract 2805,273,3098,4,111,2,15,46,97,2975,271,2530,4,111,2,15,42,94,1842,1707,161,215,67,131,590,591,555,931,308,434,72,26,27,7,335,191,1065,1001,39,962,64,30,2,32
1575,Census Tract 2604.03,57,1463,2,10,0,22,21,28,1160,48,1082,2,10,0,10,8,19,702,873,140,152,62,61,198,277,198,385,102,376,153,56,40,20,183,112,754,651,156,495,103,75,3,25
3412,Census Tract 1506,33,3287,6,4,2,8,72,39,2541,28,2462,4,4,2,6,35,21,1590,1822,237,334,132,168,406,357,391,954,433,740,202,60,98,21,440,199,1560,1204,550,654,356,134,39,183
1281,Census Tract 808,15,1249,1,2,0,1,13,4,839,14,812,1,2,0,1,9,1,560,721,150,168,53,71,144,187,135,281,92,308,52,24,28,9,228,150,831,476,135,341,355,88,10,257
4245,Census Tract 1605,22,4125,10,5,0,16,67,34,3284,21,3187,10,5,0,8,53,23,1913,2332,259,351,152,199,425,471,478,1342,568,984,317,89,130,38,537,201,1885,1634,905,729,251,70,10,171
4251,Census Tract 901,420,3685,21,38,3,29,55,63,3271,378,2782,19,31,1,23,37,43,1902,2349,283,372,149,176,393,627,532,1198,521,1000,394,123,104,28,502,214,1883,1672,984,688,211,121,28,62
2648,Census Tract 2604.02,156,2367,18,19,2,19,67,50,1897,139,1676,12,16,1,10,43,32,1177,1471,209,299,126,117,327,467,345,597,161,630,232,100,54,33,344,211,1335,1086,357,729,249,99,12,138
2260,Census Tract 2607,1449,216,27,31,10,435,92,814,1793,1225,136,19,28,5,323,57,576,1202,1058,180,167,72,48,223,555,290,458,267,487,294,111,66,21,127,66,951,810,380,430,141,79,26,36
